EMPLOYEE_ID;RATE;OVERTIME_RATE
44195764;2710;39
78933693;4520;30
49985383;5000;47
61536358;1170;19
67019722;4840;17
93493376;1710;37
62681828;5950;44
29272045;1450;45
29679748;5400;25
31665139;4540;26
91544338;4620;44
76905171;5640;36
93207971;3070;25
83406729;4940;48
46516553;4440;11
72440403;1830;16
26309670;2580;46
62512161;5710;23
43841618;2070;26
65298045;1010;36
98080368;2410;27
54263525;3250;44
88104975;5030;34
10716726;2190;50
71401879;4020;36
82876467;5980;32
51404816;5750;35
85796094;4070;17
36312743;5830;11
49616612;2850;21
81937374;4900;17
67144996;2230;14
83798617;4760;16
64773221;4420;17
91753186;1940;11
98393348;5020;47
27740702;1190;27
89754311;1220;24
49822848;5250;34
59126795;4260;42
23161837;2030;48
70038285;1850;39
75924513;1050;24
10241045;4160;46
99092102;5890;14
80395067;5270;27
53963099;4850;42
83195819;4780;33
94862258;1140;38
94693819;5960;28
21856757;1960;28
76213729;4010;10
75286048;2040;17
94227976;5900;34
20010349;1410;19
42153918;4390;45
29693437;1620;15
11815045;2140;47
47888397;4740;11
62490565;5790;23
79439202;5870;30
23726804;2190;39
26378366;2210;11
77636475;1790;39
24778715;4120;17
83306125;3680;29
35904948;3190;34
65712726;3830;49
63729071;5190;32
30799749;4730;31
94521157;4870;32
11141455;4180;23
72686779;3270;48
61818950;4630;25
14416937;2520;39
66940601;5290;48
72988976;5030;30
56596533;2670;36
89913864;4130;43
66168114;5050;47
77918552;1030;17
96037032;2020;25
39789374;2050;45
82548779;5290;49
57807487;1460;12
45245419;3210;46
35097376;1600;39
50553556;3780;34
57432171;1290;37
76722359;1500;26
37246905;3670;44
65124525;4230;50
19793072;3270;17
35636281;3470;22
63125007;1300;46
41675554;5690;20
29086669;4830;10
26601385;2980;24
58010746;3770;22
64870074;2430;48
27374924;2670;48
14664747;4480;47
94668242;4660;40
76320652;2760;31
20937689;3650;26
61829081;3410;34
12651863;1500;23
54737679;1030;10
88709536;1450;19
19220155;2470;14
13602907;1350;38
27669797;5930;35
29270260;3160;40
11290571;4420;48
97394195;1000;46
50258260;4940;18
56427800;5280;31
51085623;1040;10
14038626;3550;38
15382337;3460;50
97265997;3790;24
16228888;5250;10
97722782;4360;17
36403575;3530;22
55999298;5350;19
76282192;2760;21
10538864;5600;15
10772611;4770;12
94681004;4940;17
40976524;4880;47
45584844;1940;37
93755298;5370;12
93388997;3380;18
81930907;1770;21
17189264;5140;20
17687358;5750;21
42489348;2070;32
58557946;1160;49
46467828;3750;35
65120490;3400;10
69080512;4280;39
83613031;4780;48
31547512;5120;47
35252950;4020;47
73705540;2950;24
93432175;1610;37
95984194;3820;47
10945432;1900;41
97075358;2610;27
74641766;1790;28
78750328;1630;25
42124783;4050;25
79303775;5810;24
38607667;5570;38
41612680;2720;50
94373253;5290;28
83155979;2200;20
46771500;1370;42
37939914;4260;13
75696039;3310;26
28412964;4590;28
14305507;5560;21
30413844;3720;26
10951139;2660;35
66676763;3020;47
19905773;1500;49
71171653;3640;16
15065082;5900;15
52296072;4430;36
10588682;2660;20
19017663;2540;35
55705429;5720;34
40287329;1500;21
66741163;1820;47
56168761;4800;38
20137660;2930;41
59243858;2650;28
52437294;2720;44
71768991;3370;48
30129312;4430;34
41576962;2400;24
76368974;5980;20
67022487;2470;31
91396161;2790;18
18744632;3110;47
55666214;3010;28
99315074;5590;17
29417873;4000;47
14457014;4660;15
98660836;4860;22
35376178;2600;48
88492285;2670;30
96391050;4360;47
34029030;4680;37
91145041;5290;21
46031683;4540;16
66222285;2820;44
95847026;5830;11
17792663;2140;31
84760472;5480;44
66030165;1650;13
39827190;4000;29
86435123;5990;13
18396971;3490;42
79449210;2640;25
43437616;3810;35
27155636;5030;21
35310166;4470;36
16128552;4290;22
63637529;1940;33
79313286;4660;23
49283088;5480;23
66965048;5660;44
98198992;2410;25
21720956;2300;47
80920648;3160;43
92469540;1030;14
81319153;5990;13
81800553;4830;34
81849540;2690;43
98775174;4690;39
17876537;2630;27
43412587;2030;36
38924722;4150;36
30846505;2140;22
69704950;3410;10
99905542;2650;41
26309810;3880;30
99992473;1490;30
13569575;3700;32
24917690;4770;40
46382701;4600;28
53032470;3180;37
94650652;1290;16
60472517;2030;31
44828372;3750;27
26044835;4600;20
68813283;1900;25
38401833;3090;37
26969248;1360;16
11726974;3280;45
37398297;5130;34
36072276;5930;16
53515939;1360;27
67430574;4650;32
33569023;5550;33
69075891;2510;24
51699693;2060;14
12005054;3150;35
41974227;5410;40
58298040;2300;46
97873944;1350;32
92428934;3770;13
82543286;4400;32
49983631;2680;35
53759564;2860;39
92970605;3840;13
16072102;3820;26
37380343;3340;38
82503668;1080;49
12700131;4090;47
44122575;1370;20
49669895;4650;40
67172531;2560;11
26603030;4650;18
42251227;3430;35
28570075;1910;31
20656517;1520;34
57748260;5830;42
43695676;4600;33
73552306;2540;20
35183397;3200;49
15109322;2840;20
20493289;2360;17
18154608;5400;36
91555764;1140;19
22045724;1700;34
72156515;5930;19
24962230;3410;37
26169259;2210;46
57439503;1220;46
51831943;4360;44
65882437;5590;25
83080584;2490;45
89806958;2230;27
63718141;4240;48
56208616;1340;30
66078013;2700;24
21900233;5660;18
56077617;1870;29
61776080;1790;39
52350133;3710;13
32182641;2800;35
57484984;1220;38
25038497;3130;49
59635461;3430;27
56485976;3440;48
86136445;2080;50
36802340;5390;45
37741017;4380;21
36485489;1990;50
91953272;4480;32
58378818;4620;38
56941772;1790;32
40166571;4760;22
33977439;5170;15
20671454;4110;14
31019509;1820;43
33825682;4340;34
97641922;3180;38
29310577;3680;38
32871978;2790;21
19271625;1610;25
65298212;2120;30
27220013;2330;39
51679403;1010;39
31164654;1380;22
90807538;5490;48
74928585;2040;34
39654314;2910;15
47760680;5350;34
71930678;1960;44
64184445;1970;24
20477737;4900;49
64549580;2540;19
27590866;1430;11
88741799;2560;44
76220388;2560;32
54714647;4670;22
96543642;3090;27
62461189;5320;46
46341437;3610;50
83439294;3930;47
41896394;4560;21
11220864;3390;19
47242762;4750;50
97238201;4860;14
79359425;4940;48
94989141;1710;26
99447548;1860;12
94292673;2180;12
38065636;4210;23
18582791;5590;23
47608802;1930;39
34802009;1920;32
71982184;3280;18
10439706;2740;24
72917101;6000;49
44732353;2480;19
73628549;2690;26
29067467;1620;42
11662243;3340;19
89847194;3500;40
39835494;4680;40
56084972;1930;36
19337893;2570;13
34769142;1210;12
18242777;5550;45
84089238;4620;40
15132546;1270;21
12536804;3090;11
85055400;4260;50
46445973;3700;31
51014456;2710;35
27921246;4990;30
88954874;5510;24
52875304;1400;30
63337778;3050;50
93614608;4980;22
49623218;1000;49
53231321;5560;24
